offering_id,name,hotel_class,region_id,type,region,locality
84553,Comfort Inn Near Universal Studios Hollywood,2.0,32655,hotel,CA,Los Angeles
119454,Saharan Motor Hotel,,32655,hotel,CA,Los Angeles
1488412,Rose Bowl Motel,,32655,hotel,CA,Los Angeles
82494,Holiday Inn Express Van Nuys,2.5,32655,hotel,CA,Los Angeles
223051,Super 8 Los Angeles Airport/LAX,2.0,32655,hotel,CA,Los Angeles
76460,Staybridge Suites Chatsworth,3.0,32655,hotel,CA,Los Angeles
82633,Azul Inn,2.0,32655,hotel,CA,Los Angeles
77829,Metro Plaza Hotel,2.0,32655,hotel,CA,Los Angeles
78688,Sportsmen's Lodge Hotel,3.0,32655,hotel,CA,Los Angeles
113221,The LA Hotel Downtown,3.5,32655,hotel,CA,Los Angeles
84286,Holiday Inn Express - Los Angeles Downtown West,2.0,32655,hotel,CA,Los Angeles
81768,Vagabond Inn San Pedro,2.0,32655,hotel,CA,Los Angeles
84437,Ramada Limited Canoga Park/Warner Center,2.5,32655,hotel,CA,Los Angeles
77923,Holiday Inn Los Angeles International Airport,3.0,32655,hotel,CA,Los Angeles
82689,Warner Center Marriott Woodland Hills,3.5,32655,hotel,CA,Los Angeles
77247,BEST WESTERN Hollywood Plaza Inn,2.5,32655,hotel,CA,Los Angeles
77282,Travelodge Hollywood-Vermont/Sunset,2.0,32655,hotel,CA,Los Angeles
502971,Hollywood City Inn,2.0,32655,hotel,CA,Los Angeles
77870,Vagabond Inn Los Angeles-USC,2.0,32655,hotel,CA,Los Angeles
77277,Comfort Inn Near Hollywood Walk of Fame,2.0,32655,hotel,CA,Los Angeles
77237,Hollywood Hotel,3.0,32655,hotel,CA,Los Angeles
650376,O Hotel,3.5,32655,hotel,CA,Los Angeles
82578,Beverly Laurel Motor Hotel,2.0,32655,hotel,CA,Los Angeles
76325,BEST WESTERN Canoga Park Motor Inn,,32655,hotel,CA,Los Angeles
1657336,BEST WESTERN Burbank Airport Inn,2.5,32655,hotel,CA,Los Angeles
84428,Studio City Court Yard Hotel,,32655,hotel,CA,Los Angeles
223042,Rodeway Inn Convention Center,2.0,32655,hotel,CA,Los Angeles
77970,Travelodge Hotel at LAX,2.0,32655,hotel,CA,Los Angeles
119388,Cadillac Hotel,2.5,32655,hotel,CA,Los Angeles
657068,Villa Brasil Motel,,32655,hotel,CA,Los Angeles
249696,The Standard Downtown LA,3.5,32655,hotel,CA,Los Angeles
84253,Crowne Plaza Los Angeles International Airport Hotel,3.5,32655,hotel,CA,Los Angeles
240875,Clarion Inn,,32655,hotel,CA,Los Angeles
